id,summary_sentiment_score
15129,0.3688985410742178
28628,
18700,0.46331613118240106
22356,
10938,0.2500000000000001
19038,0.9907561823152857
1919,0.43472896828476737
20164,0.00018842078377423466
30223,0.9796412665580712
20513,0.3002633981414008
12429,0.7475205077076981
11516,
29821,0.1469258424927612
25406,0.004730272675685265
9833,0.07373664302509109
22319,
2322,0.7965839072191164
8913,0.0211987118483693
21862,0.18615225475663988
22208,
13116,0.4211374708432816
26034,0.04665562034182802
23001,0.9222188876836473
12230,0.12729459147828637
7289,
20033,0.005013123547143561
4563,0.06679898586755251
5071,0.7351833248793708
2961,
18329,
465,0.346880219251285
29586,0.9888489450694213
5264,0.3980172184530375
26319,0.004648303468817727
27319,0.07190688757476366
20206,0.0384134848638088
26640,0.1497572910980626
6102,0.23712721167165351
29579,0.6064622272653467
6418,0.18602490709587716
4006,0.9042048167642057
27632,0.4794961648194472
16091,
7764,
236,0.9999767926194997
18808,0.8189236241164727
22919,0.762436081355558
19978,0.07252874367471862
8621,0.30117370844311325
30762,0.7550609345113541
23435,0.016605831980337715
28296,
24718,0.9992589445735907
9048,0.13062587693573138
5045,0.7096811814067799
5610,0.3248980984430079
22271,
3426,
5463,0.3248980984430079
748,0.026282914875610408
10894,
21975,0.876915837675154
26648,0.00018346121169998675
9936,0.891553025553768
27976,0.3786377777652026
24646,0.4238432538805401
29488,0.5487800791905952
6832,0.1939572142691841
29801,0.5206724881225634
30704,0.3064846253747837
9826,2.9523893485539077e-07
16478,0.3033233809530963
7155,0.5003387967106693
7463,
3519,
27701,0.5025209893310868
343,0.6051908077384496
27478,0.3185233608918977
6119,0.20297988193058136
24448,
18691,0.492469005223213
22349,
28347,
10092,0.9812967470639978
12804,0.7425354535078694
14926,0.2047956940074559
3150,0.15956777805046674
10706,0.9970867462303411
4748,0.3564116759919791
20132,0.4011259244450365
3482,0.670279622547173
2579,0.2265729525659791
781,0.05645247294673028
7563,
20336,0.9869255201480819
8474,0.17980753790406212
15307,0.34433746104485496
6333,0.7515247423728331
9066,0.1908317715469986
4976,0.1200461793089318
7422,
6310,0.06307838480443839
15922,
28289,
28410,
8231,0.1908317715469986
11586,0.8721575615594748
20633,0.5432678243513644
14830,0.047095405313949845
13128,0.8529812225251302
15277,0.8552677894388946
20295,0.9816410748754059
9976,0.9439890081660616
7147,0.23964534777318014
2385,0.5224019484730588
20067,0.8027194279201553
2348,0.42601908849895853
22295,
14673,0.25060554495652787
7040,0.09000637912468201
9830,0.8544143161631134
5657,3.372573094750919e-05
21933,0.5235216859413849
6442,0.9500583826755917
13468,0.9999999999814217
23923,
10875,
11380,
9880,0.4539846067746073
27905,0.6674641189830898
13098,0.45696916889378836
11916,
14020,0.03177864284835946
9291,0.17405707180783314
22231,
2007,0.3060289114724115
4393,0.7429791203362082
27487,0.23488083696863848
14165,0.28515729283378966
30749,0.876270661569762
25356,0.9534268819678512
10926,
13152,0.2446582480369095
18611,
19544,
24311,
20532,0.5
10009,0.40822207784714604
14222,0.9720413327445936
23799,
30591,0.5980448255207057
10754,0.7676574925989743
12512,0.6472827500423252
29373,
9024,0.06151309057945803
10571,0.008596115118432945
29594,0.022763986437808303
15119,0.3077433623317606
9464,0.43832976451300476
28025,0.9999374194860874
25621,0.24256614179381486
2055,0.4453405098048069
22125,0.016470987412393057
13697,0.44016405249869484
26441,0.5741389260996219
8047,0.9964268361646327
19200,0.005238347955804912
8293,0.1908317715469986
3931,0.809164869464913
27372,0.01932734837837513
9744,0.3769459988986889
20246,0.060284381362728845
28596,
10972,
481,0.8823653025862008
2191,0.41866934716890636
24966,0.4660749896235544
13931,0.5523558057809377
12239,0.04857403258042492
13971,0.8435161329128394
29272,0.9442266239813164
3935,
18583,
9424,0.6888926080040428
6415,6.256078380895147e-07
22284,
1503,0.9862426564986299
8125,0.1681385725247832
10344,0.8437938897592069
1770,0.6720049998085155
18787,0.5023394748030103
8054,0.9960673859352327
30576,0.29779511092083244
19166,0.6655670723669816
12722,0.14799806333353105
25303,0.9847343266310118
12030,0.4508995330709294
22122,0.7787931291504057
15980,
17250,0.35233849276516227
8288,0.1908317715469986
16699,0.2591591301151914
2182,0.8091589584125412
7707,0.9732460516004454
12479,0.8519084418732478
19756,0.7397987723586142
6776,0.13081298303984984
18350,
11966,0.4292423187456651
12786,0.665944606581155
22710,0.9191117017586196
23640,0.9999551073318932
9426,0.40571577645366164
486,0.4628450126713992
27357,0.03587983251530247
5843,0.12138470814307323
29162,0.9144637905294828
3339,0.028258533083081905
17484,0.5116739470982159
20770,0.6756757336461848
8578,0.2544184501038468
26963,0.04123148928697229
3953,0.08578802977254263
24397,0.3300644535081241
16377,0.750400174462837
1603,0.10493086726532896
25084,0.9954886334447564
29471,
12136,0.00017042649150755818
6282,0.4975989755383559
20987,0.7085923308003611
29101,0.30090550675730254
19246,0.11949071431830927
9270,0.2696765363602709
18299,0.3332048626939653
26854,0.012132049062118067
10994,
10650,0.5776618118839542
27848,0.7441640935811595
13629,0.8174477995466414
14712,0.9365148611093779
8140,0.19588650486703107
24273,
4586,0.3564116759919791
24564,0.7045162524554611
16117,
3510,0.003338324393371783
21625,0.2538310912408903
3217,0.7024222665741016
8608,0.1908317715469986
25924,0.40854712517657643
28038,0.5690816835653836
18739,0.17448886438541533
1508,0.6063111962118166
27550,0.09563235262900838
2755,0.44733226781784874
7581,0.1283335534593577
11031,
13250,0.99967608842691
5546,0.3022978252044559
30034,0.7730432154441651
24650,0.9719902725613111
6088,0.738856100460033
10412,0.4737672181921908
17994,0.06710838705814626
29371,0.8349225322145427
22367,
9323,0.46268563430958054
22874,0.9975188210506524
23445,0.9988037497672781
12703,0.3005450091117823
29796,0.498965265517504
11392,
21409,0.8585047845808484
15919,
16488,0.9980959800333361
29641,0.14170919999434323
6570,0.07640395820714019
30773,0.7637410228816832
5337,0.8639850094070488
24964,0.6942873473857537
24594,0.0279988319477259
1497,0.34602009422832913
7001,0.7518536735205115
1993,0.6807331687666603
15222,0.44767845850986676
23829,0.67435510735943
15033,0.5044042197035732
24916,0.799728953565938
27278,0.08149287183942111
9386,0.9980440681410014
19236,0.49342874834902317
3414,
4866,0.22603613559912528
30305,0.8547765694468868
20968,0.8930691546545245
13990,0.7248769002593864
18292,
14784,0.13116370219430273
30616,0.6550966226509092
10822,0.9422912768822405
29517,0.10608157353165726
18559,
19996,0.03424398618527846
9315,0.010503078875491179
29561,
22365,
19943,0.09742800470520463
22725,0.99996451504655
6988,0.21738863175881484
21149,0.40306518103660505
26374,0.14202404590806095
19307,0.112527093143306
19336,0.7963514674871147
20262,0.00022256326321645759
20668,0.9257537998561728
26818,0.990573232998589
10034,0.8437938897592069
21656,0.5444622704055653
19133,0.5095979053717515
16940,0.9668648415480823
15171,0.7660723392389271
8405,0.1908317715469986
19678,
26579,0.2619939710353646
6805,0.15152686245635125
11682,0.9999624063536836
13334,0.8235792358674433
18571,
21417,0.9841666333779877
21554,0.7870538178842146
7420,0.324013313737775
16576,0.17852593572646736
24935,0.7295743445811779
24073,0.4815989214342528
3628,
22236,
12115,0.9990512606466723
19065,0.25636430282641315
30521,0.6544753941131307
7064,0.03404664210915265
12279,0.8061734401315849
12072,0.024201593892788864
11149,
9507,0.5184062447221047
11368,
24245,0.00504379255981624
5914,0.9865484304822444
20448,0.3222878595255204
11305,0.9998296403130746
9536,0.2888227250747182
4921,0.06077395919563533
14012,0.9999982739364025
24586,0.5376142215088299
11524,0.4737672181921917
1321,0.9999619835402774
5961,0.010699469388773974
20397,0.364668470018288
23043,0.9437657342058314
26868,0.1411135700896955
19496,
21494,0.9257854345506293
20737,0.9270902141162058
13424,0.8392732137540418
15976,
29549,
8439,0.21537428753368235
1776,0.9211112954902791
9538,0.2070738256250103
12938,0.6774921075767265
5364,0.8258327194780867
7615,
9916,0.6656032490111421
24549,0.9986782241391203
18543,0.32749907445801774
18379,
4935,0.901239440237491
21526,0.7939404740760252
6558,0.8162273479839897
25440,0.04639721003755559
6891,0.33333333333333337
22406,
8665,0.1908317715469986
30869,0.7094700534225139
11760,0.5079343628526622
9633,0.7115086427894075
21552,0.5181653026074063
2756,0.5392069067617494
16450,0.021164522152530063
4204,0.2652330108078079
7818,
17341,0.6325241504121699
2791,0.1182134326193403
19868,
25289,0.7297759801256299
27514,0.4617326162146234
9968,0.9627399663641479
12449,0.0840839468564607
2678,0.5981694231329975
16584,0.4737672181921908
7885,
27843,0.7018736520832546
20362,0.7111145028088263
10606,0.9999667701029779
8001,0.9958695894325015
29530,0.5579099981754467
17458,0.3197870928912965
30699,0.8990319832367923
1874,0.9595461313497853
7225,
8342,0.377001004644727
22078,0.8727073424752664
18878,0.8209389774453113
13490,0.11827826849977585
17131,0.6765424129862346
11747,0.6659989915113882
55,0.5064065635025523
23505,
615,0.807598046555036
11802,0.2308283396275872
22265,
9091,0.2560340032607043
24232,
3620,
851,0.9996936234126054
7200,
15391,0.886203985533502
17838,0.9999550828203665
7162,0.009161834583250483
18686,0.16047882325171603
19404,0.5127563293919852
1813,0.5508526788982063
10091,0.019964334830162134
26218,0.6474620280725293
12708,0.3791611376916728
23691,4.243871920550646e-11
7098,0.39421015317831104
3723,
12502,0.149083184310696
6017,0.9517157246773934
28948,0.9982824125979515
19747,
30173,0.6239620946806052
23911,0.6777409555254119
4227,0.8845001493934015
14408,0.9937937165423061
27062,0.10324135092450255
21808,0.5235216859413849
8268,0.09844705260913356
22467,
3287,0.9699455568977345
5547,0.0013085944957504925
22390,
15280,0.8412802402003868
20719,0.2001875229363327
2904,
27892,0.5039168945682246
2615,0.8543096433638204
17346,0.9941081065120008
14111,0.062119956399733445
30216,0.7267437857143318
1362,0.99719787523792
4237,0.3991068722298938
18343,0.7048406000092459
3537,
27288,0.4336195081395452
7390,0.027130454658654213
21985,0.3050505042394549
7046,0.38401398138219767
3499,
4300,0.28184144965137703
27704,0.6062170470217896
15526,
28160,0.35368827360412725
4038,0.32784654881700037
9750,0.06288832402745848
12120,0.4580783696653249
14838,0.5866352740741179
16153,
11628,0.003592497221903468
8123,0.01024410002603593
24384,
25633,0.39033242101868015
7452,0.04003294886710085
1709,0.4269289656537334
1174,0.999999999958946
3328,0.9999874493872188
30077,0.9937350046975225
14749,0.5839459678656103
20919,0.8565265795728266
5115,0.4737672181921908
7773,
22117,0.9661956491584988
30264,0.72420443690253
15463,0.9929053470958077
30928,0.6953365045428979
25535,0.6413752858715928
10228,0.7627394549410915
1738,0.9999995367925162
5654,0.19870800512470121
18138,0.5391275086257266
8072,0.8157789735662605
7903,
17174,0.820719104290765
7115,0.425118956126959
6987,0.5436935881044738
16887,0.7865480112990433
11495,
9796,0.001638533910699791
20321,0.997210194638167
13478,0.9541378992997969
25267,0.7185114320582211
2053,0.05689745821842751
1595,0.3759823802065533
8655,0.1908317715469986
46,0.871743806608614
2167,0.6228792530539037
4084,0.05233491734699858
29294,0.7234945704893971
14346,0.974979789431165
7704,
6888,0.04479036224123101
30573,0.999549536604248
26707,0.10023485679493627
26634,0.0006418052677797936
25855,0.13953468559433357
5334,0.7976464770658839
13995,0.4598795247628781
5983,0.2047099413184822
28505,
11052,
13123,0.2776637773897058
1411,0.9833551878635299
21971,0.5235216859413849
13658,0.8265868260999369
11665,0.2500000000000001
27124,0.6739689019647788
12454,0.9978231572084775
4203,0.525927668176684
14921,0.47142816023479006
10182,0.8437938897592069
17106,0.27480479095233634
12256,0.2804463761138901
27640,0.0081087824366467
24853,0.26106139729692535
10722,0.5921907146689696
4275,0.8294457583903986
5478,0.3248980984430079
20896,0.5457899851301324
14927,0.9941004604154624
10436,0.005227120906475924
23288,0.0016022497118028944
13577,0.04147853380598643
12603,0.9351944703295525
4835,0.22902910434615786
9261,0.8586704162690398
514,0.5354546797498345
11417,
6238,0.05694267354015092
15858,
22728,0.7750970244219973
8575,0.5421878974143489
24482,0.1981955059085806
5775,0.8237513647649197
21390,0.3342801926015334
23696,0.0011768741170329888
29334,0.03835694900680986
26274,0.19565191422298167
22520,
18359,
20431,0.5779936620710764
16900,0.5193969958594796
3715,0.5612989230570827
21541,0.5148783994042784
25417,0.0018511639389628964
22016,0.49274505490035336
2816,0.09025477553228756
16795,0.3417229642454034
3654,0.4518783063903965
16933,0.7679030649150064
25481,0.001415510788195462
20040,0.007224771633908222
12835,0.308450821170682
19314,0.1344711729273924
22501,
25070,0.32990733871468525
11877,
4404,0.9417989865468059
22721,0.6083883950496917
24192,0.4098361543875459
552,0.9987344182054994
7302,
21778,0.5825756763834685
30185,0.72420443690253
24097,
8263,0.16979755119591186
20474,0.8453887250308237
7357,0.9464981914793794
17051,0.44767845850986676
27611,0.5710224927123934
7362,
22547,
28433,
8843,0.1908317715469986
6681,0.0369413122510559
10281,0.048508929887829955
23155,0.9999999954964631
10043,0.8284743959377447
12584,0.9968474655703184
21858,0.4179100544711968
8977,0.1908317715469986
15439,0.9999731310051982
30775,0.9391452927630601
5512,0.018356238904776556
25504,0.14238211495431718
20131,0.007345539532488066
8437,0.30137659852660525
12872,0.6774921075767265
13539,0.1320744338457457
12453,0.9973712605436098
17414,0.3197870928912965
2414,0.4832685876209246
29302,0.7679092370356867
17800,0.7870745925320545
2840,0.7573182907753789
12475,0.631902180704454
4969,0.016820733927916054
24253,
22677,0.9309448400060794
18437,
858,0.8698715631783898
14895,0.7635486409037222
19489,
22730,0.7438844190531316
11582,0.9468871655714096
9966,0.4737672181921908
16424,0.5881994521404065
23674,0.5083823895589773
16580,7.2634842651631e-07
3293,
14473,0.8987454357842222
13645,0.9999995167813153
20338,0.23885884374765165
22262,
21237,0.8182313426953005
11304,
22263,
29615,0.35561134250651893
9250,0.9981176562028586
16342,0.9575228739038367
14862,0.07991277047513679
16593,0.9111789727205332
15128,0.0011791988886364901
30777,0.9936807028864203
28494,
14666,0.1436030642075795
2666,0.2968138461337697
29906,0.6261056355458853
597,0.6344924833251575
21508,0.40306518103660505
522,0.33188220871760876
9477,0.6918512910753066
12652,0.6774921075767265
23127,0.994966596487129
3191,0.9557999540074228
14461,0.0618487109102851
15355,0.39878848428684643
25319,0.6574370710768958
21182,0.5556865525877762
24539,0.9769352002604703
7676,
16764,0.164254992298829
7470,0.3346522417148716
23859,
11464,
5679,0.0735990124336855
18676,0.8996252164595862
22497,
1494,0.06891389430909811
9938,0.7008797270919737
19013,0.23509239193700326
4719,0.45826594403106635
7387,
9152,0.15858373162357497
28139,0.9923267891220888
18880,0.2926513616375142
28725,
19417,0.6688902937500368
11978,0.735762145182958
8340,0.1908317715469986
30606,0.6020003929581985
27889,0.0495333179660884
18239,
23279,0.9550633447549506
24364,
26491,0.38249057336793746
2059,0.5463612819011855
14424,0.08305291046395236
22657,0.6533114998541484
25840,0.2920778792406802
28525,
23250,0.43497270107982133
9360,0.000826253036929292
14483,0.4201424310915857
23667,0.9418198253638345
8792,0.028315560448844312
5694,0.007873812283541226
26558,0.05702202799165723
16844,0.09579963965033311
15552,0.3375614762565823
24451,
11343,
2375,0.27681382625717055
5758,0.29265304233028566
20757,0.7493481149782197
3943,
10945,
29643,0.5190943242001687
1635,0.3681839435765686
29264,0.8477889082624244
27540,0.47246447593067176
1744,0.7304396929543666
7441,
24969,0.21362576095785002
2866,
19992,0.00879271221541389
30883,0.02477762079786272
1881,0.7561162775468513
18988,0.6358408584482654
1831,0.9638856742567286
14436,0.08846352402500568
13208,0.028880254200514988
1561,0.3371344264739365
25540,0.09588462406928377
7250,
6188,0.2751036784665567
20451,0.6273451990899508
3609,0.8655697690117671
14019,0.3797627111181322
3355,
24563,0.8764944463995701
8445,0.07083315940335694
16447,0.49419691542968947
5304,0.1614207379696052
13474,0.9997062541777376
14752,0.7699828101881617
10533,0.550842934364131
20220,0.057369931383452255
2248,0.9999381768476638
4222,0.9289551866279248
29169,0.10135164906102012
10483,0.9340272637489738
27070,0.5860607623509926
20199,0.4030262483512481
25538,0.3895779360359757
23104,0.9999995354597113
19957,0.0244920678147522
25052,0.5450941205874894
28320,
4126,0.7762298891369804
23530,0.1623547347964852
23117,0.676701655884047
8465,0.1908317715469986
28239,0.3300644535081241
28863,0.45957068440770177
4008,0.5051132568762173
24900,0.3487458387831373
9766,7.719858291621584e-06
24338,0.4896078552669624
327,0.8670578320642859
14978,
19346,0.46626288369152447
30212,0.7181467902271391
5140,0.03242516014567609
23098,0.8152273535903176
22884,0.7393780478611023
30714,0.7235138145966986
27773,0.001187289332974073
8668,0.8904231200691134
13413,0.7198483168893263
21131,0.17019211292839465
2862,
14242,0.09271549128254575
7310,
12319,0.03234367676331207
14260,0.9582522539159821
5867,0.565788802055373
8604,0.003637894656331464
22427,
24787,0.8374297568368234
19124,0.1022368024483486
15253,0.40576259583357666
16098,
15312,0.8759869248024125
28597,
25921,0.03896097717388802
27919,0.060576509200280654
7201,0.0002507605505142063
13354,0.9253501424384152
11154,
9618,0.26586599189814
20203,0.8786709225345039
30085,0.8504293828518682
8203,0.1908317715469986
30677,0.823681770856531
11082,
3830,0.9088621932055875
24810,0.5322225497387639
23237,0.6458882153167036
15205,0.8772493950038663
1009,0.9999667909283695
16452,0.08470327189259408
24385,
19273,0.37250707887165313
21169,0.682570894689392
25028,0.5115910083092712
12305,0.01761465869312447
7580,
2378,0.5390394353183473
17205,0.7921193001360024
4779,0.9292625590822466
27320,0.8890096061040845
26271,0.9040491771625561
25073,0.04291118683350059
4464,0.01571410855081734
14538,0.9999055259646548
6642,0.13962355980181637
5420,0.0008355423905187509
6258,0.9680833997373631
3199,0.23452392696330793
28908,0.899316823742247
29556,0.9262285783034505
24812,0.5450941205874894
12897,0.8387460537551477
7770,
18576,0.6363879936002216
25492,0.014726684517284871
1253,0.9999874504345057
7734,
27893,0.2050033888862839
18807,0.9982570266291098
30822,0.509777347400745
27970,0.9993290992700167
20950,0.4737672181921908
24081,0.7840326764229241
2433,0.400558262994844
4021,0.01137599195913841
7883,
5695,0.2756676861356677
570,0.6052771264700287
30405,0.9220694267910909
11610,0.05883944330695978
698,0.16900607561179526
11698,0.7660511363608988
11038,
10311,0.7642709336536204
11332,
26333,0.016558060807385977
28447,
20138,0.04371748810887799
4568,0.3740476352625538
6076,0.19053916757212153
3332,0.4518783063903965
30644,0.8178465682580542
25395,0.060770075168489535
8029,0.9732460516004454
11381,
6939,7.39661425399607e-05
15905,
9996,0.6908093319964357
12877,0.5935222447389642
25874,1.3969966278781776e-05
13865,0.45625933131576923
9616,0.47203717384469945
25212,0.4866504028792231
12709,0.6697047084174003
11618,0.37500000000000006
21585,0.621482987771587
10958,
5828,0.7716907663755848
6151,0.17368972933845062
18759,0.06645878287278595
26606,0.3957297110974711
6839,0.33333333333333337
25872,0.010713007485824821
19179,0.8874341949233566
24580,0.7170360456059922
22461,
22183,
26839,0.9563230912583944
24584,0.9844948973557521
24821,0.9990516069415711
12406,0.06301850622924987
26182,0.5317539020867502
1672,0.6338746385226488
10133,0.7987807655006294
12666,0.7615917563060485
28067,0.3801811914808665
171,0.3414322088430932
27545,0.20619325318801252
8902,0.09102627938281083
2474,0.1398843038034464
23363,0.47304231061381596
10435,0.2916862804431791
1724,0.47091140351096356
6056,0.45756255387164224
4745,0.008267115388866153
7319,
4926,0.8609611553498404
28187,0.9995054725561474
8521,0.20115395113734402
11492,
23811,0.9897086563362274
10141,0.9790018099093365
15734,
26173,0.7555642713963027
7056,0.000775675917033869
2482,0.42601908849895853
21690,0.6671646568056808
23085,0.696755533496039
17184,0.658776778025122
22616,
20986,0.5618565332226944
14539,0.9980593456979159
9500,0.7122984518944279
13636,0.11222390659113679
3672,
3520,
27063,0.1975818263310658
14876,0.18516708923987413
14302,0.10154112720921138
4519,0.2669324463036112
27827,0.1754612326743099
24031,0.11083684894347112
6428,0.31041609369117307
16840,0.4274670822188238
6966,0.32667255726714417
4510,0.1472154216926711
9217,0.6546624991532035
27950,0.22204870007959268
1953,0.38787671094307596
2029,0.014411763841733594
3752,
13861,0.4147986916549494
30694,0.6327671031505895
18775,0.09259830485193815
20727,0.6154996943760093
23825,0.999948802653212
30035,0.0007531633935333737
1575,0.22798263069613822
24575,0.5643410060708479
13143,0.10311301805541284
11242,0.7915615901737447
23158,0.8767483834639033
4687,0.3633516047389469
2175,0.006509854016328753
9478,0.5195581013187309
29089,0.40043003444450875
12422,0.07384477393935451
20767,0.7190519155417748
213,0.1766309724950229
9953,0.9983260864474511
24748,0.6770925013528266
16459,0.4737672181921908
29133,0.3647988585914398
1263,0.028577483501402434
16214,0.06616711969933631
6768,0.8227097820548005
4663,0.21266378496475546
9208,0.42906519144664024
26460,0.0001357601580455059
9530,0.0066637814191187195
2709,0.7564061543452817
16902,1.3728239434129819e-07
3420,
27840,0.15538131498869223
26816,0.6331468807140604
24042,0.4395473928328292
24638,0.28244018750364464
7554,
20055,1.7670926943935683e-09
24596,0.8109874215475807
3041,0.6210598926177642
19595,0.269812193696672
29168,0.8260591622209837
2598,0.49705602259289317
23801,0.9999240348025885
22339,
26097,0.3149273162373478
26858,0.2308283396275872
12590,0.4737672181921908
13140,0.9653421083149174
9656,0.6040399166773124
9650,0.2564098676501516
5357,0.025470588632469315
177,0.5276346610376261
14112,0.34835569528545746
7331,
20438,0.8585265270157556
8246,0.1908317715469986
14205,0.16071631598874092
18436,
30339,0.19311907098641534
25316,0.9999994792201653
14954,
8391,0.13492467749294065
24463,0.5945451914081177
9652,0.7413840093077462
7756,
5954,0.28990518824605405
23624,0.6533114998541484
1369,0.9999999999999998
17083,0.39649036561138595
7245,0.03283245417703162
19632,
7800,
29867,0.5256411614718545
6245,0.1874449659573324
19127,0.22583966842953312
26247,0.3072683712220924
9181,0.1908317715469986
27534,0.9999954021384563
12114,0.6078271375268118
6853,0.33333333333333337
2488,0.9910879021179833
