id,summary_sentiment_score
34344,0.0
32408,0.3944
33964,0.0
34460,0.0
32415,-0.3818
32583,0.48465
36960,0.0
43660,0.0
42477,0.0
40968,0.0
41871,0.0
37621,0.0
40422,0.4926
34770,
43928,0.0
38729,0.0
41597,0.0
43669,0.0
40834,0.0
43384,0.025733333333333334
38787,0.0
40640,0.0
33042,-0.6249
37038,0.0
37777,-0.6705
33420,-0.1366
39977,0.0
35598,0.0
41211,0.0
31557,-0.041139999999999996
37149,0.0
31213,0.0
43929,0.4019
40854,0.0
41293,0.0
38279,
31102,0.0
42825,-0.09866666666666667
38149,0.0
43799,0.0
34483,0.24081666666666668
38044,0.0
31833,-0.5574
41605,0.0
35965,0.0
35489,-0.3182
41650,0.0
38928,0.4902654283673133
32466,0.0
35308,
32019,0.0
33901,-0.08895
44374,0.0
31955,-0.3612
33542,0.0
38425,0.4215
39251,0.0
31926,-0.5106
32630,0.0
38642,-0.13396666666666665
33798,0.2023
43779,0.0
44495,0.0
36457,0.0
31101,0.0
41380,0.0
35663,0.0
33907,0.0
42669,-0.2732
32341,0.0
31680,0.0
33547,0.0
35719,
34541,-0.055999999999999994
34053,0.0
40412,-0.1779
42230,0.0772
35486,0.0
41129,0.0
39981,0.0
38136,0.0
31744,0.0
41084,0.31845
41342,0.0
35103,0.0
43413,0.06743333333333333
35604,0.0
34407,0.0
42476,0.1591
43803,0.0
38338,0.0
34299,-0.08246666666666667
35473,0.0
39174,
40162,0.0
32595,0.0
43285,0.0
33148,0.0
34459,0.0
37750,0.2732
43554,0.0
38086,0.4228
42903,0.0
40003,0.0
37371,0.0
43853,0.0
37051,0.0
38731,0.0258
31390,0.0
38102,0.0
36556,-0.11175
37181,-0.3182
35617,0.0
38142,0.0
37500,0.0
39689,0.0
38063,-0.125
40828,0.0
41935,0.0
35497,0.0
37549,0.0
35533,0.0
32974,0.0
42474,-0.34
33896,0.0
40231,0.01284
38644,-0.1027
36812,0.0
41846,0.0
41804,0.0
35916,-0.00894051766774743
31402,0.0
39151,
39698,0.0
42779,0.0
38913,0.4906921855250866
36254,0.0
42752,0.0
42223,0.10115
35774,
37200,0.0
39769,0.0
32438,0.0
43984,0.0
42341,-0.3182
32299,0.0
44279,
33256,0.0
34789,
31824,0.0
41488,-0.5423
36795,-0.3182
44184,0.0
31006,0.1909
43748,0.0
43427,0.4393
31768,0.0
38632,0.0
