id,distrust_proba,neutral_proba,trust_proba,trust
34344,0.3406466355181067,0.6074607768318168,0.05189258765007638,0
15129,0.0554751715935286,0.6599316801680293,0.28459314823844195,0
32408,0.04734431746469415,0.7597454595559268,0.1929102229793791,0
33964,0.2197408407386038,0.6670949307800459,0.11316422848135031,0
18700,0.09363296424220628,0.10377809795831877,0.8025889377994749,1
10938,3.597952378524531e-05,0.9972908297883125,0.002673190687902096,0
34460,0.00790124556351323,0.8056653006406869,0.18643345379579992,0
19038,9.810623152321377e-05,0.983293394539719,0.016608499228757977,0
32415,0.0012433416942735475,0.1677728289829481,0.8309838293227784,1
1919,0.00015513610397051652,0.10779028843778538,0.8920545754582442,1
20164,0.00496689673067008,0.1430989092033045,0.8519341940660253,1
30223,0.8916580169754327,0.09819692433381341,0.010145058690753902,-1
20513,5.045205461555958e-05,0.9856229317239329,0.014326616221451545,0
12429,4.9864526664713525e-05,0.032914352544810704,0.9670357829285245,1
32583,0.00010477663853293444,0.054232977275325916,0.9456622460861411,1
36960,0.000601250857281512,0.9893952555792328,0.010003493563485852,0
25406,0.0009863093051186956,0.052394332606476836,0.9466193580884045,1
43660,0.00021864141586402933,0.9960947343056643,0.0036866242784716376,0
9833,5.1505072126164344e-05,0.9986174665730355,0.0013310283548381944,0
42477,0.00017761073111131643,0.47774048725195706,0.5220819020169316,1
2322,0.00012548178244278126,0.6547222004971208,0.3451523177204365,0
8913,0.00014104009794471854,0.0724979300403457,0.9273610298617095,1
21862,8.509129070982259e-05,0.9948472792030126,0.005067629506277531,0
13116,0.00017177314978821266,0.005627075084434184,0.9942011517657775,1
26034,0.00032198828499006653,0.0086219932001493,0.9910560185148606,1
23001,0.009902603156042532,0.07864404118680304,0.9114533556571545,1
40968,0.000274682709786573,0.9978643876131548,0.0018609296770586766,0
41871,3.236381020625458e-05,0.9993112611712648,0.0006563750185288022,0
12230,7.397865855702882e-05,0.990312905267813,0.009613116073629939,0
20033,0.005595343771127467,0.05131676907525446,0.9430878871536181,1
4563,0.43821293874106476,0.24865378873167407,0.3131332725272611,-1
5071,0.00010421942879955054,0.010685841690126137,0.9892099388810742,1
465,0.000851687331072644,0.40111379583482404,0.5980345168341032,1
37621,0.0008412955894476277,0.8608073904732024,0.13835131393734995,0
40422,0.0006290710349144154,0.6929607547353241,0.3064101742297615,0
29586,0.0013149965643950267,0.030570268300122824,0.9681147351354821,1
5264,0.011466366913801306,0.9529526155206536,0.03558101756554521,0
26319,0.0002569929076964728,0.036673395850711756,0.9630696112415918,1
27319,0.05794669683407748,0.12665086907910666,0.8154024340868159,1
20206,4.088532133527181e-05,0.021716421129822836,0.9782426935488419,1
43928,5.329943375282795e-05,0.9861449301933627,0.013801770372884386,0
38729,0.0002043033180764535,0.9976756584133137,0.002120038268609756,0
26640,0.00016275208645575356,0.9856943929293682,0.014142854984175918,0
6102,2.3933199607651262e-05,0.9745128056186751,0.025463261181717357,0
29579,0.00019910718472335664,0.42235711830907147,0.5774437745062053,1
6418,4.7380824544887334e-05,0.9979392121861449,0.002013406989310197,0
4006,6.339188426346488e-05,0.9694989603834009,0.030437647732335538,0
41597,0.00011919877742088844,0.9297606733112119,0.07012012791136712,0
27632,0.008852674997574323,0.05211842541293112,0.9390288995894946,1
43669,0.00027981283074581437,0.9930292253373054,0.006690961831948741,0
236,0.06438235660004067,0.029345890367991914,0.9062717530319674,1
18808,8.953311686032483e-05,0.016794944972867293,0.9831155219102724,1
22919,0.00019908370162509325,0.03498259240887749,0.9648183238894975,1
19978,6.43475608489183e-05,0.9682779375816345,0.03165771485751657,0
40834,0.00036303310099134665,0.9955287814831725,0.0041081854158361054,0
43384,0.0004368459795149239,0.8782480455042735,0.12131510851621148,0
8621,0.000760240590177473,0.07934303549244028,0.9198967239173823,1
30762,0.46917051837511514,0.2894203068707747,0.24140917475411017,-1
38787,0.0003314095890438045,0.958710749132838,0.04095784127811816,0
24718,0.01211379641269031,0.027770802796918657,0.9601154007903909,1
9048,9.267828564891137e-05,0.4637030255420324,0.5362042961723186,1
5045,0.0004086164064399911,0.1139920009812372,0.8855993826123228,1
40640,0.00012238101705123916,0.9985146753359537,0.0013629436469949653,0
5610,0.00014531034782192564,0.9969019024425068,0.002952787209671241,0
33042,0.0023887314470608855,0.9824331217891269,0.015178146763812331,0
5463,4.449314418750295e-05,0.9926421845764563,0.007313322279356376,0
748,0.00022692053289662245,0.009659100980496538,0.9901139784866069,1
21975,0.0004733560490489727,0.93984422523515,0.059682418715801065,0
26648,0.016204298715173673,0.03597271507626501,0.9478229862085613,1
37038,0.00037536078463839753,0.9828676356625279,0.016757003552833626,0
9936,0.007649261306720594,0.12702895531950764,0.8653217833737717,1
27976,0.0007429245801265366,0.02471540742907787,0.9745416679907956,1
24646,0.00048275365877941073,0.9961291802614446,0.0033880660797759527,0
29488,2.0131275620538865e-05,0.7360056043002415,0.26397426442413785,0
6832,9.152454875639324e-05,0.9785987150855696,0.021309760365674092,0
37777,0.0029446336647663152,0.2599293464888447,0.737126019846389,1
29801,0.774844230819664,0.17199080695737753,0.053164962222958495,-1
30704,0.0023857998217049724,0.1909962225236567,0.8066179776546384,1
9826,0.007652362375787361,0.04506212967088877,0.9472855079533239,1
16478,0.006014510995239153,0.9769704061643988,0.017015082840362024,0
7155,0.00014456291377705786,0.9948756221677073,0.00497981491851558,0
27701,3.279348615195886e-05,0.9903625204603975,0.009604686053450696,0
343,0.9203762016131084,0.04618606867949184,0.03343772970739985,-1
27478,0.08864880740893119,0.0766524973812064,0.8346986952098624,1
6119,0.00030797581074978447,0.04314540615535502,0.9565466180338953,1
33420,0.02818218639153836,0.9311853241666983,0.040632489441763266,0
18691,0.00020134753316081305,0.9851076043897506,0.014691048077088618,0
39977,9.223361639864015e-05,0.9981365739811249,0.001771192402476547,0
35598,4.9298642813612806e-05,0.9911831306338241,0.008767570723362261,0
41211,6.454737303329691e-05,0.961539282161616,0.03839617046535065,0
31557,0.5017245649295053,0.2609141603114585,0.23736127475903626,-1
37149,0.0005669503414572687,0.9978573209955435,0.0015757286629994372,0
10092,0.024856760978501712,0.8814605521343737,0.09368268688712456,0
12804,0.00013104063417865923,0.8196083430070987,0.18026061635872279,0
14926,0.018649725534233545,0.6468807558189357,0.3344695186468309,0
3150,0.00030483919608399144,0.009507671380135254,0.9901874894237807,1
10706,0.0002462718354506413,0.7511600948212105,0.24859363334333878,0
4748,8.954609394404609e-05,0.15691348795624327,0.8429969659498127,1
20132,0.0002798359174770013,0.009173781562074006,0.990546382520449,1
31213,0.00022103844918685317,0.9945838247077522,0.005195136843061107,0
43929,0.010428761109873076,0.7654455037488068,0.22412573514132006,0
